,词频
我们,59
没有,40
回忆,30
知道,28
一个,27
那么,26
现在,26
爱情,26
怎么,25
总是,25
世界,25
还是,23
时光,21
时间,21
什么,20
眼泪,20
月亮,19
一切,19
那些,19
Memory,18
所有,18
全部,18
看见,18
讨厌,18
不再,17
时候,17
喜欢,17
还好,17
是否,16
之间,16
自己,16
还有,16
变得,15
慢慢,15
为何,15
温柔,15
过去,15
晚风,14
离开,14
余生,14
相信,14
只是,14
已经,14
不能,14
不想,13
不是,13
心里,13
身边,13
像是,13
的话,13
夜晚,13
哭泣,13
天空,13
不到,13
收集,12
一场,12
最后,12
一生,12
模样,12
My,12
这个,12
以为,12
哪里,12
you,12
我会,12
变成,12
如此,12
不会,12
就算,12
思念,11
关于,11
看着,11
从前,11
寂寞,11
舍得,11
可是,10
无法,10
一直,10
想念,10
能够,10
回到,10
为什么,10
手心,10
也许,10
如果,10
闪烁,10
一样,10
小心,10
生活,10
me,9
其实,9
直到,9
结局,9
到底,9
告别,9
突然,9
走过,9
不停,9
如今,9
真的,9
一起,9
转身,9
baby,9
看到,9
再也,9
终于,9
整个,9
遗失,9
know,9
每天,9
疯狂,8
世间,8
褪去,8
害怕,8
期待,8
青春,8
烈火,8
时空,8
一天,8
情绪,8
希望,8
落叶,8
星星,8
感谢,8
牵挂,8
心动,8
彻底,8
可以,8
消失,8
独自,8
融化,8
生气,8
匆匆,8
紧握,8
但愿,8
归期,8
鸟失,8
偷偷地,8
温暖,8
can,8
忘记,8
每次,8
火焰,8
需要,8
只能,8
两个,7
再见,7
安静,7
相拥,7
彼此,7
失去,7
想起,7
拥抱,7
想要,7
结束,7
泪眼,7
离别,7
反正,7
习惯,7
dont,7
名字,7
孩子,7
那天,7
困住,7
醒来,7
选择,7
永远,7
偶尔,7
放下,7
记得,7
曾经,7
因为,7
发现,7
撕碎,7
夜空,7
瞳孔,7
好像,7
遥远,6
眼睛,6
开始,6
指尖,6
色彩,6
远方,6
偷偷,6
这里,6
才能,6
上瘾,6
留在,6
故事,6
多人,6
努力,6
脚步,6
愿意,6
一遍,6
let,6
沉默,6
原地,6
里面,6
样子,6
依靠,6
风景,6
清楚,6
未来,6
原来,6
明明,6
这是,6
不过,6
黑白,6
他们,6
感受,6
火会,6
抓住,6
不断,6
不愿,6
are,6
南半球,6
北海道,6
有没有,6
心在,6
爱如,6
开出,6
难道,6
一朵,6
准备,6
瞬间,6
一片,6
相遇,6
心窝,6
如何,6
等待,6
不怕,6
证明,6
女子,6
长大,6
落下,6
从没,6
隐藏,6
即使,6
in,6
照亮,6
人生,6
代替,6
一声,6
回答,6
leave,5
星光,5
停留,5
唯一,5
快要,5
绝弦,5
当初,5
不要,5
不同,5
so,5
悲欢,5
拥有,5
your,5
多少,5
无限,5
烟火,5
这份,5
保持,5
总在,5
人群,5
失控,5
那个,5
心脏,5
漫长,5
银河,5
花海,5
幸运,5
留住,5
脑海,5
一句,5
梦里,5
红尘,5
一次,5
面对,5
it,5
究竟,5
笑颜,5
笑容,5
空气,5
早就,5
重复,5
love,5
便利店,5
开口,5
今天,5
为难,5
挣扎,5
not,5
盛夏,5
迷雾,5
翻涌,5
身旁,5
计算,5
眼中,5
步伐,5
岁月,5
游戏,5
喜乐,5
回头,5
go,5
人潮,5
天边,5
还会,5
就是,5
不见,5
好时光,5
失落,5
看不清,4
心底,4
我爱你,4
两半,4
这时候,4
美好,4
天各一方,4
化蝶,4
那时,4
祈祷,4
错过,4
每当,4
一点,4
贴近,4
want,4
日月,4
无关,4
已无光,4
比作,4
better,4
便是,4
伴舞,4
向前,4
忘掉,4
一扇,4
有事,4
真情,4
片段,4
一辈子,4
奔跑,4
出现,4
枝桠,4
理由,4
哪怕,4
飘摇,4
跳舞,4
悲哀,4
爱笑,4
不敢,4
星石,4
安慰,4
错位,4
伤人,4
般的,4
决定,4
目送,4
一瞬,4
过往,4
看过,4
礼物,4
偷看,4
互相,4
城市,4
现实,4
alone,4
寂静,4
以后,4
感觉,4
一半,4
定时炸弹,4
用尽,4
为了,4
no,4
宽容,4
早已,4
有点,4
秘密,4
消散,4
偏偏,4
热烈,4
刚刚,4
难过,4
天天,4
wanna,4
just,4
发呆,4
霓虹,4
sad,4
停止,4
The,4
moon,4
is,4
shy,4
幻想,4
一点点,4
昼夜,4
颜色,4
算了,4
来来来,4
不眠,4
海浪,4
梦醒,4
无聊,4
遇见,4
feel,4
后悔,4
lying,4
明白,4
bad,4
燃烧,4
肆意,4
黑夜,4
眼角,4
只有,4
付出,4
爱恨,4
雨季,4
月光,4
阑珊,4
遮盖,4
Moonlight,4
化作,4
实现,4
伸出,4
暴雨,4
用力,4
声音,4
风吹,4
分开,4
双手,4
地方,4
想过,4
遗忘,4
季节,4
有些,4
带走,4
万般,4
随风,4
流连,4
这座,4
一身,4
we,4
不了,4
一段,4
翻过,4
一笔带过,4
真假,4
听说,4
蓝色,4
漂流,4
经过,4
夕阳,4
走进,4
接受,4
整夜,4
走散,3
夏天,3
浓妆,3
明月光,3
孤身,3
星空,3
情话,3
唢呐,3
跪三拜,3
高堂,3
触动,3
一拜天地,3
二拜,3
杂乱,3
庭院,3
大门,3
心像,3
梦想,3
甜蜜,3
We,3
But,3
放逐,3
死不悔改,3
熟悉,3
定格,3
电影,3
何妨,3
缘尽,3
难舍,3
烟花,3
甚至,3
说话,3
惆怅,3
喧嚷,3
眼光,3
爱过,3
一把,3
锁上,3
逃避,3
夜色,3
池台,3
或许,3
不讲理,3
但是,3
若雪落,3
樱灯,3
归程,3
下雨天,3
周六,3
动作,3
在意,3
挡住,3
讲述,3
语言,3
吵架,3
滴答,3
水滴石穿,3
惦记,3
剩下,3
坏天气,3
陪伴,3
惴惴不安,3
荒唐,3
应该,3
是因为,3
说唱,3
樱花,3
雨声,3
无所谓,3
今夜,3
手机,3
落日,3
来得,3
太阳,3
连结,3
街角,3
依赖,3
路口,3
低头,3
争吵,3
忘不掉,3
作伴,3
多么,3
全都,3
一瞬间,3
孤单,3
oh,3
不够,3
无奈,3
猜不透,3
东西,3
电话,3
day,3
口中,3
一眼,3
可能,3
天空海阔,3
会想,3
山顶,3
数着,3
最高,3
悬崖,3
生长,3
痕迹,3
一边,3
月牙,3
埋葬,3
盖住,3
暴风雪,3
潮汐,3
繁华,3
眼前,3
萤火虫,3
灯笼,3
整片,3
麦田,3
三月,3
荧光,3
碎片,3
卸载,3
程序,3
装满,3
藏进,3
听得见,3
飘落,3
没什么,3
怀中,3
隔太多,3
春秋,3
开满花,3
感情,3
影踪,3
记忆里,3
冷漠,3
太难学,3
从容,3
拨开,3
眼里,3
无感,3
热情,3
打转,3
的确,3
不算,3
刚好,3
有个,3
爱着,3
抽离,3
身后,3
放心,3
扯开,3
心雪,3
冬去,3
这样,3
何苦,3
自问,3
the,3
来到,3
成恨,3
在乎,3
信号,3
秋天,3
沙漠,3
脾气,3
面前,3
雨下,3
感到,3
镜子,3
模糊,3
灿烂,3
欲望,3
足够,3
不畏,3
显得,3
念头,3
停泊,3
赶走,3
之后,3
是不是,3
出口,3
舍不得,3
新长,3
之大,3
背后,3
放过,3
天涯,3
梦话,3
不得,3
再也不会,3
笑话,3
身影,3
流沙,3
伤口,3
夜幕,3
心之所动,3
even,3
之前,3
触摸,3
无边,3
始终,3
心事,3
差点,3
卑微,3
快乐,3
正中,3
永久,3
场景,3
迁走,3
争执,3
遗憾,3
一程,3
我魂,3
一秒,3
You,3
这些,3
雪白,3
飞鸟,3
发誓,3
盛开,3
方位,3
不声,3
跳动,3
眼眶,3
相互,3
过后,3
终归,3
日落,3
结成,3
出神,3
坠落,3
常让,3
众生,3
彷徨,3
放不下,3
恒顺,3
无论,3
声响,3
人海会,3
起浪,3
抵挡,3
潇洒,3
轻而易举,3
起来,3
光阴,3
身上,3
会照,3
何时,3
向往,3
拉长,3
肩膀,3
残酷,3
不如,3
勇敢,3
点燃,3
羡慕,3
抬头,3
迷失,3
接电话,3
逆着,3
不响,3
可惜,3
fire,3
同一个,3
缘分,3
破晓,3
了解,3
奔逃,3
清晨,3
mind,3
世俗,3
浪漫,3
吹散,3
我心,3
like,3
风筝,3
放开,3
耗尽,3
爱尽,3
会怪,3
最大,3
真心,3
lay,3
交给,3
放弃,3
属于,3
摇摆,3
恒心,3
无边无际,3
to,3
shadow,3
拥抱着,3
How,3
share,3
这种,3
三心二意,3
言说,2
学会,2
这般,2
海洋,2
只不愿,2
直觉,2
往事,2
看似,2
跨越,2
大人,2
春天,2
明天,2
黄昏,2
渐渐,2
长成,2
保留,2
前方,2
挥霍,2
掷地有声,2
拼好,2
一挥,2
已成,2
弱者,2
憧憬,2
熄灭,2
交替,2
走出,2
圈套,2
厮杀,2
凝聚,2
争名夺利,2
唏嘘,2
流星,2
几乎,2
星辰,2
多一些,2
落差,2
但风,2
更迭,2
凛冽,2
强者,2
坦言,2
两刃,2
话语权,2
虚幻,2
生动,2
利剑,2
最能,2
握紧,2
情节,2
名片,2
懦弱,2
空间,2
美梦,2
轻弹,2
算清,2
径直,2
一去不返,2
睁开眼,2
变换,2
不过如此,2
不可,2
文字,2
未知,2
宇宙,2
草虫,2
妖怪,2
心不在焉,2
状态,2
看起来,2
回望,2
七岁,2
讲话,2
小孩,2
告白,2
焦虑,2
有种,2
逐渐,2
失神,2
慌张,2
之中,2
成不了,2
黑暗,2
黎明,2
考虑,2
遇到,2
答应,2
释然,2
愿望,2
正在,2
拱手,2
装着,2
照料,2
常帮,2
尘埃,2
无视,2
怀念,2
懈怠,2
光明,2
天色,2
liar,2
渐晚,2
太嘲,2
愉快,2
集邮,2
入梦,2
山盟,2
既然,2
重逢,2
推开,2
认真,2
送走,2
那一刻,2
一份,2
悄然,2
那句话,2
背着,2
伤疤,2
无人知晓,2
依然,2
云霞,2
逃亡,2
抑或,2
隐没,2
之际,2
那朵,2
能否,2
从来,2
松开,2
成长,2
猜想,2
无所畏惧,2
一步,2
义无反顾,2
只想,2
遭遇,2
向着,2
妈妈,2
复杂,2
呈现,2
轻轻地,2
境遇,2
起玩,2
一支,2
一页,2
一只,2
一整天,2
其他,2
经常,2
不用,2
充满,2
同一,2
房间,2
几百遍,2
呼叫,2
抵达,2
年华,2
扔掉,2
几个,2
少年,2
走走停停,2
一块,2
离家,2
九转,2
铺张,2
却是,2
任何,2
花正开,2
晚灯映,2
浮夸,2
吹进,2
摩斯电码,2
领教过,2
人间,2
一地,2
碎落,2
花瓣,2
流淌,2
鲜艳,2
如火般,2
荡漾,2
心早,2
爱如火,2
雪人,2
碰撞,2
眼眸,2
某个,2
算了吧,2
缥缈,2
上天,2
广场,2
从未,2
婚姻,2
浪潮,2
锣鼓喧天,2
千里,2
乘风,2
航行,2
叹息,2
首歌,2
星际,2
轨道,2
接收,2
莺歌,2
赐予,2
讯号,2
隐在,2
夜半,2
云层,2
自禁,2
痴情,2
映照,2
伪装,2
潮湿,2
牵住,2
减半,2
路灯,2
心中,2
浅浅,2
所属,2
唯独,2
不管,2
眼见,2
角落里,2
发霉,2
腐烂,2
意兴,2
偏执,2
崎岖,2
踏步,2
平川,2
无尽,2
雨落,2
千万,2
江山,2
今生,2
风花雪月,2
理想,2
不安,2
行人,2
呼唤,2
倒映在,2
听不清,2
确定,2
沧海,2
年复一年,2
伤心,2
小窗,2
我明,2
高温,2
笔记,2
过滤,2
铭记,2
噪音,2
靠近,2
侵扰,2
微弱,2
风雪,2
困意,2
澄明,2
透过,2
玻璃,2
相见,2
红线,2
台阶,2
天算,2
脚跟,2
奢望,2
不敢高攀,2
强大,2
仰望,2
坚持,2
真实,2
苍茫,2
私藏,2
魂归,2
用爱,2
捆绑,2
太多话,2
凝寒,2
血落,2
饮剑,2
辞君,2
对手,2
含悲,2
四方,2
歌声,2
站稳,2
人算,2
一曲,2
十八弯,2
微微,2
失语,2
一个个,2
胡扯,2
假装,2
骄傲,2
坦荡,2
还要,2
态度,2
那座,2
度过,2
八十一,2
人生路,2
从此,2
发生,2
反转,2
背坡,2
后方,2
惨淡,2
剧情,2
最好,2
离乱,2
垓下,2
牵引,2
遍地,2
枫叶,2
独念,2
梦中,2
山水,2
褪下,2
抓不住,2
八月,2
尾巴,2
这么,2
云烟,2
喜字,2
贵贱,2
进入,2
定义,2
手中,2
余温,2
婚事,2
偏见,2
句句,2
疯癫,2
冷色调,2
等到,2
心慌,2
看剑,2
出卖,2
挑灯,2
醉里,2
彻夜,2
时代,2
西风,2
冷暖,2
杯中,2
君共饮,2
潸然,2
虞兮虞,2
诀别,2
此番,2
平天下,2
策马,2
长枪,2
出发,2
深刻,2
教会,2
欲盖弥彰,2
阳光,2
人太,2
日子,2
作假,2
红红,2
意义,2
折磨,2
河里,2
双眼,2
一年,2
治愈,2
by,2
办法,2
真话,2
没想到,2
伤害,2
很多,2
太快,2
扩散,2
关掉,2
怎么办,2
安全感,2
放肆,2
剥夺,2
每个,2
早该,2
角度,2
心冰得,2
自觉,2
获得,2
关心,2
煎熬,2
默数,2
变奏,2
同步,2
帮助,2
会笑,2
心思,2
有缘,2
陷入,2
步调,2
无处可逃,2
左向右,2
重新,2
撞个满怀,2
跳错,2
节拍,2
躲不开,2
立刻,2
通宵,2
某某,2
正午,2
期盼,2
裂开,2
傻傻的,2
Follow,2
Oh,2
蔷薇,2
强退,2
一层层,2
内心,2
忏悔,2
烟味,2
洗礼,2
stay,2
使命,2
装坏,2
算不算,2
变化,2
如梦初醒,2
两手空空,2
同样,2
留下,2
扰乱,2
时差,2
白发,2
纹身,2
自焚,2
午夜,2
一堆堆,2
上垒,2
那本,2
可乐,2
经不起,2
虚伪,2
讽刺,2
轻松,2
问候,2
闪动,2
滴落,2
你好,2
大脑,2
还给,2
找到,2
苹果,2
注销,2
耳机,2
封锁,2
衣袖,2
恍然大悟,2
喉咙,2
卡住,2
那次,2
答复,2
move,2
备注,2
刺穿,2
缠绵悱恻,2
单丝不成线,2
流浪,2
脚步声,2
长廊,2
高山流水,2
佳人,2
远乡,2
天地,2
轰的一声,2
歌写,2
我們,2
悠长,2
飞机,2
池塘,2
爆珠,2
飘转,2
树叶,2
滚蛋,2
晨昏,2
一片片,2
疤痕,2
牵着手,2
归根,2
叫嚷,2
灯一亮,2
当成,2
特别,2
夜里,2
从不,2
泪水,2
个人,2
原因,2
心头,2
散场,2
人为,2
想象,2
大步,2
晴朗,2
走来,2
远光,2
旋转,2
飞驰,2
几帧,2
怎样,2
闪过,2
空荡,2
无人,2
命运,2
冷战,2
脸红,2
夜夜,2
可爱,2
邀请,2
绝不,2
舞动,2
会长,2
衣裳,2
买不起,2
女郎,2
海边,2
难忘,2
do,2
磨合,2
脸庞,2
和秀场,2
芒果,2
倾塌,2
大厦,2
夜风,2
头发,2
吹拂,2
玫瑰色,2
晚霞,2
容易,2
以前,2
说声,2
尽全力,2
保持沉默,2
两散,2
每句,2
初见,2
画面,2
脑中,2
烙印,2
点缀,2
感动,2
点亮,2
在我心中,2
可笑,2
誓言,2
彩虹,2
多种,2
脆弱,2
赤裸裸,2
前进,2
承诺,2
背影,2
考验,2
话语,2
溜走,2
盆栽,2
刺激,2
距离,2
跳入,2
侧脸,2
不及,2
闯入,2
安好,2
手掌,2
理解,2
自拔,2
怀抱,2
何方,2
